iter	Passed	Remaining
0	12516	5394571
1	24996	5374332
2	40501	5791782
3	55979	5989813
4	68487	5848800
5	81130	5760283
6	96888	5882496
7	112482	5961584
8	125280	5888181
9	138068	5826487
10	153651	5880653
11	169736	5940794
12	182892	5894760
13	195907	5849226
14	212086	5895999
15	228728	5946936
16	241760	5901796
17	254826	5861010
18	271043	5891634
19	287437	5921218
20	300677	5884691
21	314032	5852417
22	330299	5873583
23	346430	5889322
24	418929	6820179
25	496428	7751927
26	593468	8902025
27	692162	9986916
28	764319	10621404
29	838603	11237286
30	934310	12085753
31	1032141	12901771
32	1103725	13345047
33	1178513	13795540
34	1274152	14452528
35	1369902	15068925
36	1439876	15371658
37	1511824	15675236
38	1605205	16175536
39	1699583	16655913
40	1768986	16870090
41	1840935	17094403
42	1935387	17508506
43	2030099	17901788
44	2099444	18055226
45	2170988	18217421
46	2264036	18545833
47	2358411	18867292
48	2373387	18551172
49	2388148	18245457
50	2405478	17970338
51	2422838	17705360
52	2438082	17434590
53	2453433	17174033
54	2470933	16937126
55	2488492	16708449
56	2503833	16472591
57	2518836	16242152
58	2536408	16035258
59	2554019	15834918
60	2569496	15627590
61	2584854	15425745
62	2602547	15243492
63	2620273	15066574
64	2635790	14882078
65	2650966	14700813
66	2668750	14538714
67	2686475	14380546
68	2702024	14214997
69	2717454	14053121
70	2735215	13907222
71	2752865	13764326
72	2824657	13891123
73	2898131	14020687
74	2995123	14256788
75	3091965	14483418
76	3164286	14588595
77	3236818	14690177
78	3332495	14890771
79	3427754	15082118
80	3499107	15162798
81	3572348	15247828
82	3668600	15425803
83	3764140	15594294
84	3836326	15661237
85	3909691	15729689
86	4005588	15884229
87	4101328	16032466
88	4172814	16081746
89	4245959	16134644
90	4341348	16268130
91	4436886	16397187
92	4509530	16437964
93	4582774	16478488
94	4680156	16602240
95	4789819	16764366
96	4808981	16608338
97	4828329	16455736
98	4848639	16309058
99	4868674	16163997
100	4888296	16020062
101	4907403	15876893
102	4927540	15739425
103	4947701	15604289
104	4967030	15468753
105	4985898	15333989
106	5006189	15205715
107	5026309	15078928
108	5045489	14951312
109	5064447	14825018
110	5084709	14704431
111	5104995	14585700
112	5124376	14466161
113	5143629	14348018
114	5164001	14234682
115	5184277	14122688
116	5203364	14009057
117	5222681	13897644
118	5242793	13789868
119	5262760	13683178
120	5356114	13766541
121	5449480	13847041
122	5560924	13970128
123	5673454	14092129
124	5766440	14162378
125	5860103	14231679
126	5972512	14343436
127	6083256	14447734
128	6175723	14505768
129	6269095	14563590
130	6381103	14661925
131	6492768	14756291
132	6586347	14806901
133	6679540	14854500
134	6792311	14943085
135	6902906	15023973
136	6995380	15063045
137	7088896	15102431
138	7200627	15178301
139	7312363	15251500
140	7405143	15282955
141	7499107	15315079
142	7611967	15383626
143	7722636	15445272
144	7741920	15323663
145	7760937	15202931
146	7781185	15085971
147	7801452	14970354
148	7820761	14854197
149	7840085	14739359
150	7860738	14628261
151	7881166	14517938
152	7900484	14406765
153	7919738	14296670
154	7940190	14189889
155	7960753	14084409
156	7980253	13978151
157	7999954	13873339
158	8020438	13770941
159	8041188	13670019
160	8060671	13567961
161	8080214	13467023
162	8100661	13368576
163	8121148	13271145
164	8140592	13172959
165	8160304	13076151
166	8180778	12981474
167	8201478	12888038
168	8292625	12905091
169	8386786	12925517
170	8498399	12971241
171	8611682	13017660
172	8703114	13029518
173	8797498	13044567
174	8908322	13082508
175	9020263	13120383
176	9111033	13126064
177	9205149	13135438
178	9316367	13167827
179	9428887	13200441
180	9520646	13202664
181	9614004	13206049
182	9724660	13231914
183	9836295	13257615
184	9927221	13254182
185	10021441	13254164
186	10132319	13274963
187	10246283	13298368
188	10337638	13291249
189	10431338	13286231
190	10542289	13302050
191	10655254	13319067
192	10674709	13218940
193	10693974	13119411
194	10714401	13022119
195	10734903	12925700
196	10754229	12828648
197	10773457	12732267
198	10793998	12638199
199	10814648	12544991
200	10833665	12450630
201	10852827	12357180
202	10873219	12265848
203	10893713	12175326
204	10913074	12084233
205	10932442	11993844
206	10953051	11905491
207	10973458	11817570
208	10992595	11728941
209	11011486	11640714
210	11031910	11554750
211	11052377	11469447
212	11071918	11383803
213	11091493	11298810
214	11112027	11215395
215	11132420	11132420
216	11224871	11121416
217	11318758	11111075
218	11432270	11119057
219	11545256	11125429
220	11638895	11112248
221	11732355	11098174
222	11846070	11102370
223	11958461	11104285
224	12051814	11087669
225	12145543	11070716
226	12258749	11070676
227	12372091	11069765
228	12465622	11050311
229	12559864	11030837
230	12673312	11027427
231	12786274	11022650
232	12878820	10999507
233	12973778	10977812
234	13087187	10970961
235	13200953	10963504
236	13294985	10938911
237	13389010	10913731
238	13502356	10903576
239	13614882	10891905
240	13634304	10805610
241	13653664	10719819
242	13674047	10635370
243	13694568	10551553
244	13713809	10467275
245	13733657	10383985
246	13754212	10301738
247	13774713	10219948
248	13794197	10137904
249	13813421	10056170
250	13833958	9975882
251	13854351	9895965
252	13873752	9815816
253	13892853	9735936
254	13913330	9657488
255	13933702	9579420
256	13953006	9501074
257	13972143	9423073
258	13992543	9346370
259	14013084	9270194
260	14032569	9193752
261	14051780	9117567
262	14072139	9042553
263	14092639	8968043
264	14186555	8940206
265	14281003	8912204
266	14394034	8895190
267	14507356	8877635
268	14601129	8847524
269	14696276	8817765
270	14810403	8798800
271	14922170	8777747
272	15015551	8745321
273	15110544	8713379
274	15223449	8691205
275	15336639	8668535
276	15430902	8634620
277	15525778	8600611
278	15639965	8576755
279	15752155	8551170
280	15846300	8515271
281	15940354	8478912
282	16053333	8452108
283	16165810	8424436
284	16259743	8386604
285	16354572	8348837
286	16468401	8320272
287	16580142	8290071
288	16599181	8213435
289	16618813	8137487
290	16639261	8062322
291	16659630	7987494
292	16679072	7912597
293	16698481	7838062
294	16718884	7764363
295	16739168	7690969
296	16758380	7617445
297	16777703	7544336
298	16798209	7472113
299	16818781	7400263
300	16838259	7328278
301	16857605	7256585
302	16878262	7185794
303	16898909	7115330
304	16918092	7044582
305	16937055	6974081
306	16957247	6904416
307	16977770	6835206
308	16996990	6765792
309	17016203	6696699
310	17036673	6628416
311	17057046	6560402
312	17148597	6519754
313	17243345	6479983
314	17354703	6446032
315	17467709	6412197
316	17560478	6370520
317	17654493	6328969
318	17765531	6293119
319	17877688	6257190
320	17969231	6213659
321	18063287	6170688
322	18174360	6133143
323	18287785	6095928
324	18379897	6051227
325	18474603	6007079
326	18586415	5968115
327	18698893	5928917
328	18790341	5882690
329	18885185	5837239
330	18997376	5796782
331	19110397	5756143
332	19202570	5708872
333	19296837	5661946
334	19408354	5619732
335	19520064	5577161
336	19539266	5508101
337	19558499	5439346
338	19579054	5371244
339	19599557	5303409
340	19618839	5235526
341	19638016	5167899
342	19658429	5100875
343	19678744	5034097
344	19698087	4967343
345	19717377	4900851
346	19737890	4834929
347	19758446	4769280
348	19777701	4703579
349	19797013	4638157
350	19817511	4573271
351	19837849	4508602
352	19856942	4443904
353	19876129	4379486
354	19896461	4315570
355	19916808	4251902
356	19936273	4188292
357	19955790	4124939
358	19975969	4061965
359	19996264	3999252
360	20089100	3951041
361	20183164	3902821
362	20297359	3858175
363	20410949	3813034
364	20505200	3763968
365	20599030	3714579
366	20713375	3668581
367	20825946	3621903
368	20918692	3571484
369	21013318	3521150
370	21127308	3473762
371	21240845	3425942
372	21334405	3374611
373	21429184	3323242
374	21543513	3274613
375	21656817	3225483
376	21749900	3173062
377	21844233	3120604
378	21958524	3070717
379	22072113	3020394
380	22165838	2967080
381	22260204	2913639
382	22374296	2862507
383	22487122	2810890
384	22506374	2747531
385	22525491	2684384
386	22545905	2621616
387	22566166	2559049
388	22585330	2496578
389	22604461	2434326
390	22624944	2372436
391	22645315	2310746
392	22664697	2249168
393	22683848	2187782
394	22703943	2126698
395	22724356	2065850
396	22743577	2005101
397	22762664	1944549
398	22783146	1884320
399	22803541	1824283
400	22823016	1764372
401	22842291	1704648
402	22862760	1645211
403	22882932	1585945
404	22902235	1526815
405	22921342	1467869
406	22941760	1409199
407	22962203	1350717
408	23055935	1296544
409	23151045	1242251
410	23264260	1188684
411	23377206	1134815
412	23471244	1079790
413	23565548	1024589
414	23679366	969998
415	23791609	915061
416	23885486	859190
417	23980602	803178
418	24093537	747532
419	24205691	691591
420	24299579	634905
421	24394101	578059
422	24507750	521441
423	24620021	464528
424	24714593	407063
425	24809848	349434
426	24922904	291837
427	25036318	233984
428	25130503	175737
429	25225754	117329
430	25339205	58791
431	25451279	0
